collection_site,activity,time
45,Cleaing oil station,NA
45,Mobbing ground with broom,NA
45,Closing  trunk,NA
46,Parking,NA
46,Opening trunk,NA
46,Collecting & Loading of small trash,NA
46,Slit-Container: Emptying,NA
46,Slit-Container: Sack Replacement,NA
46,Recycling,NA
46,Cleaning ground,NA
46,Cleaing oil station,NA
46,Mobbing ground with broom,NA
46,Closing  trunk,NA
